source,target,value
0,316,1
0,671,1
0,888,1
0,37,1
1,795,1
1,933,1
1,600,1
1,1007,1
1,675,1
1,693,1
1,914,1
1,888,1
1,555,1
1,724,1
1,945,1
1,202,1
1,534,1
1,560,1
1,466,1
1,372,1
1,45,1
1,106,1
1,57,1
1,895,1
1,678,1
2,81,1
2,933,1
2,868,1
2,46,1
2,689,1
2,914,1
2,20,1
2,764,1
2,202,1
2,147,1
2,218,1
2,29,1
2,106,1
2,38,1
2,88,1
2,220,1
2,4,1
2,969,1
3,933,1
3,632,1
3,499,1
3,974,1
3,996,1
3,475,1
3,680,1
3,646,1
3,649,1
4,81,1
4,868,1
4,36,1
4,221,1
4,75,1
4,184,1
4,715,1
4,24,1
4,92,1
4,71,1
4,582,1
4,131,1
4,77,1
4,2,1
4,70,1
4,247,1
4,51,1
4,20,1
4,953,1
4,153,1
4,19,1
4,881,1
4,168,1
4,113,1
4,196,1
4,638,1
4,882,1
4,969,1
5,36,1
5,136,1
5,231,1
5,30,1
5,822,1
5,232,1
5,1000,1
5,64,1
5,61,1
5,120,1
5,823,1
5,74,1
5,26,1
5,683,1
6,654,1
6,21,1
6,210,1
6,181,1
6,139,1
6,244,1
6,137,1
6,208,1
6,231,1
6,173,1
6,30,1
6,554,1
6,798,1
6,197,1
6,435,1
6,91,1
6,810,1
6,613,1
6,77,1
7,166,1
7,84,1
7,86,1
7,983,1
7,85,1
7,30,1
7,130,1
7,239,1
7,88,1
7,77,1
7,152,1
7,121,1
7,80,1
7,419,1
7,87,1
7,247,1
7,82,1
7,153,1
7,276,1
7,697,1
7,147,1
7,149,1
7,164,1
7,772,1
7,176,1
8,175,1
8,138,1
8,10,1
8,172,1
8,137,1
8,247,1
8,182,1
8,119,1
8,51,1
8,52,1
8,82,1
8,153,1
8,992,1
8,934,1
8,798,1
8,191,1
8,190,1
8,250,1
8,239,1
8,40,1
8,14,1
8,167,1
8,610,1
8,29,1
8,9,1
8,243,1
8,35,1
9,138,1
9,70,1
9,787,1
9,52,1
9,177,1
9,82,1
9,191,1
9,250,1
9,8,1
9,94,1
9,243,1
