source,target,value
0,608,1
1,533,1
1,163,1
1,419,1
1,1007,1
1,959,1
1,906,1
1,675,1
1,744,1
1,555,1
1,646,1
1,545,1
1,630,1
1,696,1
1,697,1
1,372,1
1,746,1
1,725,1
1,412,1
1,796,1
1,38,1
1,895,1
2,795,1
2,210,1
2,126,1
2,944,1
2,659,1
2,141,1
2,835,1
2,545,1
2,202,1
2,849,1
2,302,1
2,27,1
2,660,1
2,372,1
2,746,1
2,412,1
2,848,1
2,106,1
2,149,1
2,879,1
2,74,1
2,772,1
2,678,1
3,709,1
3,708,1
3,893,1
3,691,1
3,650,1
3,538,1
3,870,1
3,967,1
3,812,1
3,672,1
3,476,1
3,968,1
3,863,1
3,606,1
3,1006,1
3,37,1
4,868,1
4,948,1
4,84,1
4,172,1
4,5,1
4,221,1
4,158,1
4,40,1
4,92,1
4,1000,1
4,68,1
4,226,1
4,156,1
4,703,1
4,25,1
4,206,1
4,807,1
4,63,1
4,953,1
4,128,1
4,19,1
4,587,1
4,168,1
4,190,1
4,993,1
4,960,1
4,113,1
4,147,1
4,95,1
5,36,1
5,948,1
5,234,1
5,130,1
5,40,1
5,782,1
5,35,1
5,290,1
5,703,1
5,55,1
5,56,1
5,70,1
5,25,1
5,82,1
5,173,1
5,153,1
5,98,1
5,7,1
5,203,1
5,95,1
5,4,1
6,36,1
6,139,1
6,244,1
6,137,1
6,39,1
6,132,1
6,70,1
6,182,1
6,953,1
6,30,1
6,576,1
6,554,1
6,798,1
6,234,1
6,232,1
6,145,1
6,120,1
6,113,1
6,684,1
6,64,1
6,26,1
6,223,1
6,54,1
6,249,1
7,654,1
7,121,1
7,166,1
7,944,1
7,5,1
7,557,1
7,701,1
7,141,1
7,177,1
7,637,1
7,659,1
7,75,1
7,153,1
7,692,1
7,685,1
7,576,1
7,302,1
7,24,1
7,697,1
7,8,1
7,967,1
7,117,1
7,240,1
7,29,1
7,9,1
7,155,1
7,106,1
7,149,1
7,823,1
7,131,1
7,41,1
7,678,1
7,613,1
7,77,1
7,152,1
8,944,1
8,56,1
8,137,1
8,557,1
8,787,1
8,51,1
8,177,1
8,141,1
8,75,1
8,173,1
8,162,1
8,184,1
8,250,1
8,7,1
8,696,1
8,971,1
8,240,1
8,179,1
8,9,1
8,149,1
8,131,1
8,164,1
9,402,1
9,81,1
9,21,1
9,105,1
9,944,1
9,714,1
9,915,1
9,557,1
9,212,1
9,13,1
9,25,1
9,374,1
9,141,1
9,177,1
9,82,1
9,75,1
9,692,1
9,30,1
9,767,1
9,7,1
9,579,1
9,8,1
9,652,1
9,240,1
9,179,1
9,403,1
9,48,1
9,149,1
9,131,1
9,223,1
9,355,1
9,77,1
9,838,1
9,766,1
9,321,1
10,654,1
10,175,1
10,80,1
10,819,1
10,126,1
10,419,1
10,138,1
10,86,1
10,133,1
10,137,1
10,626,1
10,51,1
10,114,1
10,191,1
10,199,1
10,168,1
10,246,1
10,60,1
10,232,1
10,40,1
10,65,1
10,14,1
10,94,1
11,938,1
11,954,1
11,506,1
11,770,1
11,1007,1
11,801,1
11,891,1
11,596,1
11,888,1
11,890,1
11,480,1
11,895,1
12,516,1
12,166,1
12,87,1
12,571,1
12,726,1
12,685,1
12,588,1
12,531,1
12,890,1
12,738,1
13,402,1
13,81,1
13,105,1
13,714,1
13,915,1
13,169,1
13,212,1
13,557,1
13,374,1
13,82,1
13,498,1
13,545,1
13,970,1
13,579,1
