source,target,value
1,844,1
2,218,1
5,96,1
5,94,1
6,202,1
6,244,1
6,146,1
7,64,1
8,137,1
8,9,1
8,51,1
8,164,1
9,137,1
9,8,1
9,164,1
12,531,1
12,520,1
12,797,1
13,81,1
13,165,1
13,221,1
13,918,1
14,130,1
14,138,1
14,71,1
14,845,1
15,654,1
15,582,1
15,90,1
16,227,1
16,99,1
16,35,1
17,854,1
18,786,1
19,184,1
19,175,1
19,193,1
19,626,1
20,168,1
20,113,1
21,417,1
21,948,1
21,357,1
21,926,1
21,60,1
21,906,1
21,930,1
22,985,1
22,182,1
22,91,1
22,622,1
24,41,1
28,840,1
29,136,1
29,190,1
30,219,1
32,715,1
33,557,1
33,607,1
34,795,1
35,16,1
35,99,1
36,667,1
36,82,1
39,194,1
39,188,1
41,24,1
41,717,1
41,176,1
44,154,1
46,881,1
47,199,1
47,133,1
48,889,1
49,584,1
51,8,1
51,137,1
52,172,1
52,132,1
53,890,1
53,996,1
54,232,1
55,983,1
55,958,1
56,944,1
56,70,1
58,481,1
58,936,1
58,508,1
59,745,1
60,21,1
60,948,1
60,997,1
61,829,1
61,152,1
62,184,1
63,820,1
63,153,1
64,207,1
64,7,1
65,991,1
65,80,1
65,97,1
66,203,1
68,1001,1
68,114,1
69,197,1
69,218,1
69,176,1
70,913,1
70,56,1
71,14,1
71,845,1
71,128,1
72,432,1
73,208,1
73,206,1
74,210,1
75,953,1
76,164,1
77,453,1
77,182,1
78,430,1
78,192,1
79,472,1
79,390,1
79,501,1
80,65,1
80,97,1
81,165,1
81,221,1
81,13,1
81,131,1
81,918,1
82,36,1
83,895,1
84,232,1
86,129,1
87,180,1
87,166,1
87,396,1
87,607,1
87,119,1
88,191,1
88,987,1
90,447,1
90,15,1
90,323,1
91,433,1
91,985,1
91,22,1
91,182,1
91,622,1
92,117,1
92,613,1
93,251,1
93,113,1
94,5,1
96,5,1
96,626,1
96,1000,1
97,80,1
97,65,1
99,16,1
99,35,1
100,438,1
100,281,1
101,488,1
104,169,1
104,220,1
105,106,1
106,154,1
106,105,1
108,535,1
109,981,1
110,749,1
112,203,1
113,168,1
113,251,1
113,93,1
113,20,1
114,1001,1
114,68,1
117,92,1
119,180,1
119,222,1
119,87,1
120,186,1
120,178,1
121,166,1
126,712,1
127,161,1
128,71,1
129,86,1
130,14,1
131,81,1
131,165,1
131,221,1
132,52,1
133,199,1
133,47,1
134,331,1
134,919,1
136,29,1
137,8,1
137,9,1
137,51,1
138,14,1
138,845,1
139,247,1
140,857,1
140,505,1
140,482,1
140,921,1
143,316,1
144,206,1
145,721,1
146,202,1
146,222,1
146,813,1
146,6,1
150,303,1
151,974,1
151,770,1
151,254,1
152,61,1
153,63,1
154,44,1
154,106,1
154,671,1
155,354,1
156,193,1
158,226,1
159,394,1
159,342,1
159,456,1
160,938,1
160,935,1
161,127,1
162,408,1
162,927,1
162,478,1
164,609,1
164,8,1
164,9,1
164,76,1
165,81,1
165,221,1
165,13,1
165,131,1
166,121,1
166,87,1
167,213,1
167,819,1
168,113,1
168,20,1
168,735,1
169,104,1
169,220,1
172,993,1
172,52,1
173,527,1
173,903,1
173,180,1
174,197,1
174,219,1
174,224,1
175,626,1
175,914,1
175,19,1
176,69,1
176,235,1
176,218,1
176,196,1
176,41,1
177,234,1
178,120,1
178,183,1
178,185,1
178,223,1
180,87,1
180,119,1
180,173,1
181,246,1
182,22,1
182,91,1
182,77,1
183,178,1
183,185,1
184,193,1
184,62,1
184,19,1
185,205,1
185,178,1
185,183,1
186,187,1
186,204,1
186,120,1
186,201,1
187,186,1
187,204,1
187,201,1
187,320,1
188,189,1
188,194,1
188,39,1
188,192,1
189,194,1
189,188,1
189,192,1
190,29,1
191,88,1
192,189,1
192,78,1
192,194,1
192,188,1
193,184,1
193,200,1
193,195,1
193,19,1
193,198,1
193,156,1
194,189,1
194,202,1
194,39,1
194,188,1
194,192,1
194,404,1
195,200,1
195,869,1
195,193,1
195,778,1
195,198,1
196,250,1
196,235,1
196,218,1
196,176,1
197,726,1
197,69,1
197,174,1
198,200,1
198,193,1
198,195,1
199,133,1
199,47,1
200,193,1
200,195,1
200,887,1
200,785,1
200,778,1
200,198,1
201,186,1
201,187,1
201,204,1
202,194,1
202,244,1
202,221,1
202,146,1
202,6,1
203,112,1
203,66,1
204,186,1
204,187,1
204,201,1
205,843,1
205,185,1
205,931,1
206,144,1
206,73,1
207,211,1
207,216,1
207,64,1
207,209,1
207,769,1
208,73,1
209,207,1
209,211,1
209,216,1
210,961,1
210,231,1
210,74,1
211,207,1
211,216,1
211,908,1
211,209,1
212,240,1
213,215,1
213,214,1
213,167,1
214,213,1
214,215,1
215,213,1
215,214,1
216,620,1
216,207,1
216,312,1
216,615,1
216,211,1
216,625,1
216,209,1
218,69,1
218,196,1
218,176,1
218,2,1
219,174,1
219,225,1
219,30,1
219,224,1
220,169,1
220,104,1
220,229,1
221,81,1
221,202,1
221,165,1
221,228,1
221,13,1
221,131,1
222,813,1
222,146,1
222,119,1
223,578,1
223,178,1
224,219,1
224,174,1
224,225,1
225,444,1
225,219,1
225,515,1
225,224,1
226,158,1
226,955,1
226,230,1
227,16,1
228,221,1
228,446,1
229,238,1
229,841,1
229,241,1
229,220,1
229,233,1
230,884,1
230,226,1
231,210,1
231,961,1
232,84,1
232,54,1
233,238,1
233,241,1
233,229,1
234,177,1
235,236,1
235,237,1
235,196,1
235,930,1
235,176,1
236,235,1
236,237,1
237,235,1
237,236,1
238,841,1
238,241,1
238,229,1
238,528,1
238,233,1
240,212,1
241,238,1
241,229,1
241,233,1
243,956,1
244,202,1
244,6,1
245,423,1
245,248,1
245,428,1
246,644,1
246,181,1
247,819,1
247,139,1
248,423,1
248,245,1
248,428,1
249,420,1
249,341,1
249,565,1
250,196,1
251,714,1
251,113,1
251,333,1
251,93,1
252,421,1
252,371,1
254,723,1
254,770,1
254,151,1
255,342,1
255,478,1
257,374,1
257,777,1
260,481,1
260,491,1
260,477,1
260,271,1
260,296,1
261,453,1
261,305,1
264,535,1
265,980,1
265,552,1
265,347,1
266,767,1
267,459,1
268,704,1
269,286,1
269,408,1
269,508,1
271,481,1
271,976,1
271,477,1
271,260,1
273,463,1
273,445,1
274,408,1
274,398,1
274,359,1
274,403,1
275,835,1
276,915,1
276,940,1
276,789,1
276,645,1
277,385,1
277,467,1
281,100,1
281,438,1
282,850,1
282,614,1
282,587,1
283,287,1
283,963,1
284,377,1
284,306,1
286,873,1
286,269,1
287,283,1
288,803,1
288,992,1
289,427,1
289,378,1
290,935,1
291,976,1
291,442,1
291,396,1
292,752,1
292,320,1
292,805,1
294,355,1
295,439,1
296,468,1
296,260,1
296,303,1
297,734,1
299,305,1
303,468,1
303,296,1
303,150,1
304,869,1
305,261,1
305,453,1
305,999,1
305,299,1
306,377,1
306,284,1
307,373,1
308,738,1
310,748,1
311,424,1
311,488,1
311,321,1
312,620,1
312,216,1
312,625,1
314,397,1
314,381,1
314,393,1
314,922,1
315,571,1
316,143,1
316,731,1
317,971,1
318,473,1
319,699,1
320,292,1
320,187,1
320,805,1
321,359,1
321,311,1
321,488,1
322,472,1
322,620,1
322,422,1
322,436,1
322,370,1
322,465,1
322,363,1
322,464,1
323,447,1
323,1009,1
323,349,1
323,90,1
324,485,1
325,503,1
325,411,1
325,330,1
327,623,1
327,339,1
327,700,1
328,443,1
328,947,1
329,894,1
330,325,1
330,503,1
330,331,1
331,134,1
331,503,1
331,330,1
331,919,1
332,631,1
333,929,1
333,861,1
333,251,1
334,912,1
336,345,1
338,711,1
339,327,1
339,519,1
339,700,1
339,513,1
339,894,1
340,998,1
340,939,1
341,565,1
341,544,1
341,249,1
342,686,1
342,255,1
342,460,1
342,159,1
342,478,1
342,456,1
342,409,1
344,415,1
345,336,1
345,635,1
347,980,1
347,265,1
348,417,1
348,357,1
348,926,1
348,349,1
348,1009,1
348,450,1
348,492,1
349,417,1
349,926,1
349,348,1
349,1009,1
349,323,1
349,492,1
350,557,1
350,738,1
350,487,1
351,480,1
353,470,1
353,386,1
354,155,1
355,294,1
356,439,1
357,21,1
357,417,1
357,948,1
357,926,1
357,348,1
357,930,1
358,493,1
358,484,1
359,405,1
359,398,1
359,274,1
359,321,1
360,472,1
360,390,1
360,407,1
361,747,1
362,469,1
362,399,1
363,436,1
363,322,1
363,370,1
363,846,1
363,464,1
364,705,1
365,822,1
367,414,1
367,755,1
368,528,1
370,422,1
370,436,1
370,322,1
370,465,1
370,363,1
370,464,1
371,252,1
373,393,1
373,307,1
374,257,1
375,545,1
375,536,1
375,812,1
377,284,1
377,306,1
377,554,1
378,437,1
378,427,1
378,289,1
378,448,1
379,851,1
379,801,1
381,314,1
381,397,1
381,922,1
382,425,1
384,409,1
385,277,1
385,395,1
386,470,1
386,353,1
387,583,1
387,467,1
388,469,1
388,405,1
389,430,1
390,472,1
390,405,1
390,436,1
390,360,1
390,79,1
390,501,1
391,938,1
391,935,1
391,423,1
393,724,1
393,314,1
393,373,1
394,159,1
394,456,1
395,385,1
396,976,1
396,291,1
396,87,1
396,421,1
397,314,1
397,381,1
397,922,1
398,408,1
398,359,1
398,274,1
399,362,1
400,441,1
400,479,1
400,462,1
401,737,1
403,274,1
404,194,1
405,472,1
405,390,1
405,469,1
405,359,1
405,388,1
407,360,1
408,398,1
408,927,1
408,274,1
408,269,1
408,984,1
408,162,1
408,478,1
408,409,1
408,448,1
409,408,1
409,384,1
409,416,1
409,342,1
409,984,1
409,478,1
409,448,1
411,325,1
411,503,1
412,445,1
413,874,1
414,367,1
414,755,1
415,344,1
416,409,1
416,448,1
417,21,1
