source,target,value
0,955,1
0,27,1
0,967,1
0,548,1
1,171,1
1,367,1
1,366,1
1,278,1
1,1007,1
1,538,1
1,943,1
1,677,1
2,59,1
2,136,1
2,375,1
2,571,1
2,626,1
2,429,1
2,700,1
2,52,1
2,953,1
2,529,1
2,199,1
2,826,1
2,601,1
2,697,1
2,69,1
2,725,1
2,165,1
2,71,1
2,412,1
2,388,1
2,895,1
2,176,1
2,622,1
2,722,1
2,882,1
2,263,1
3,697,1
3,155,1
3,206,1
4,105,1
4,222,1
4,244,1
4,70,1
4,221,1
4,626,1
4,182,1
4,693,1
4,953,1
4,153,1
4,821,1
4,554,1
4,764,1
4,168,1
4,800,1
4,588,1
4,24,1
4,246,1
4,8,1
4,117,1
4,29,1
4,243,1
4,871,1
4,895,1
4,91,1
4,95,1
4,74,1
4,613,1
4,249,1
5,136,1
5,955,1
5,80,1
5,25,1
5,52,1
5,692,1
5,98,1
5,767,1
5,184,1
5,203,1
5,165,1
5,414,1
5,97,1
5,1000,1
5,68,1
5,226,1
5,66,1
6,654,1
6,81,1
6,21,1
6,137,1
6,112,1
6,39,1
6,62,1
6,247,1
6,208,1
6,693,1
6,20,1
6,51,1
6,82,1
6,75,1
6,246,1
6,239,1
6,8,1
6,145,1
6,155,1
6,782,1
6,684,1
6,1000,1
6,135,1
6,93,1
6,164,1
6,810,1
6,54,1
6,66,1
7,121,1
7,278,1
7,134,1
7,126,1
7,166,1
7,139,1
7,56,1
7,726,1
7,247,1
7,675,1
7,914,1
7,52,1
7,231,1
7,148,1
7,685,1
7,894,1
7,199,1
7,197,1
7,630,1
7,530,1
7,24,1
7,232,1
7,372,1
7,967,1
7,412,1
7,388,1
7,149,1
7,804,1
7,772,1
7,590,1
7,176,1
7,683,1
7,152,1
7,263,1
8,795,1
8,81,1
8,222,1
8,56,1
8,691,1
8,137,1
8,212,1
8,247,1
8,914,1
8,693,1
8,51,1
8,82,1
8,950,1
8,168,1
8,588,1
8,1000,1
8,684,1
8,131,1
8,243,1
8,95,1
8,6,1
8,613,1
8,4,1
8,152,1
8,249,1
9,868,1
9,244,1
9,169,1
9,112,1
9,62,1
9,28,1
9,20,1
9,993,1
9,715,1
9,630,1
9,530,1
9,147,1
9,240,1
9,684,1
9,164,1
9,131,1
9,66,1
10,795,1
10,516,1
10,703,1
10,80,1
10,126,1
10,212,1
10,330,1
10,141,1
10,518,1
10,75,1
10,904,1
10,593,1
10,102,1
10,788,1
10,945,1
10,114,1
10,191,1
10,432,1
10,202,1
10,630,1
10,447,1
10,246,1
10,317,1
10,372,1
10,967,1
10,240,1
10,94,1
10,106,1
10,540,1
10,823,1
10,149,1
10,57,1
10,88,1
10,290,1
10,910,1
11,938,1
11,308,1
11,506,1
11,959,1
11,801,1
11,719,1
11,527,1
11,608,1
11,17,1
11,814,1
11,37,1
12,620,1
12,531,1
12,163,1
12,890,1
12,38,1
13,81,1
13,21,1
13,389,1
13,84,1
13,430,1
13,169,1
13,16,1
13,208,1
13,656,1
13,918,1
13,737,1
13,481,1
13,158,1
13,583,1
13,851,1
13,849,1
13,130,1
13,317,1
13,362,1
13,370,1
13,147,1
13,403,1
13,797,1
13,613,1
13,220,1
13,456,1
14,654,1
14,955,1
14,726,1
14,50,1
14,208,1
14,231,1
14,30,1
14,555,1
14,576,1
14,184,1
14,715,1
14,22,1
14,24,1
14,696,1
14,246,1
14,967,1
14,642,1
14,590,1
14,77,1
14,949,1
14,695,1
14,222,1
14,138,1
14,56,1
14,112,1
14,62,1
14,128,1
14,685,1
14,433,1
14,199,1
14,588,1
14,650,1
14,372,1
14,104,1
14,610,1
14,823,1
14,91,1
14,54,1
14,769,1
15,964,1
15,869,1
15,607,1
15,778,1
16,500,1
16,326,1
16,21,1
16,524,1
16,417,1
16,991,1
16,948,1
16,443,1
16,714,1
16,674,1
16,13,1
16,208,1
16,374,1
16,484,1
16,863,1
16,378,1
16,217,1
16,559,1
16,690,1
16,583,1
16,630,1
16,370,1
16,362,1
16,746,1
16,240,1
16,782,1
16,797,1
16,581,1
16,508,1
16,26,1
17,506,1
17,441,1
17,11,1
18,786,1
19,654,1
19,21,1
19,779,1
19,181,1
19,244,1
19,251,1
19,144,1
19,62,1
19,174,1
19,51,1
19,63,1
19,173,1
19,162,1
19,554,1
19,798,1
19,191,1
19,22,1
19,71,1
19,113,1
19,29,1
19,64,1
19,91,1
19,77,1
19,54,1
19,156,1
20,868,1
20,96,1
20,84,1
20,244,1
20,172,1
20,169,1
20,132,1
20,247,1
20,656,1
20,99,1
20,153,1
20,555,1
20,576,1
20,554,1
20,767,1
20,798,1
20,481,1
20,993,1
20,436,1
20,203,1
20,239,1
20,120,1
20,65,1
20,113,1
20,147,1
20,97,1
20,9,1
20,782,1
20,64,1
20,131,1
20,535,1
20,91,1
20,6,1
20,223,1
20,54,1
20,982,1
20,66,1
20,156,1
21,654,1
21,181,1
21,244,1
21,16,1
21,13,1
21,208,1
21,182,1
21,173,1
21,30,1
21,19,1
21,576,1
21,158,1
21,880,1
21,22,1
21,60,1
21,246,1
21,239,1
21,370,1
21,362,1
21,104,1
21,113,1
21,29,1
21,135,1
21,684,1
21,93,1
21,91,1
21,223,1
21,6,1
21,54,1
22,654,1
